,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
365,59170481,DA,59170481,0.2919,1152,468,458,1152,-123.52206,48.431111,71.55,30.966666666666665,70.16666666666667
366,59170482,DA,59170482,0.7537,2746,1392,1317,2746,-123.51917,48.438771,73.71666666666667,30.333333333333332,67.75
367,59170483,DA,59170483,0.1476,377,155,151,377,-123.517793,48.440375,71.68333333333334,29.833333333333332,67.05
368,59170484,DA,59170484,0.757,1174,492,478,1174,-123.506961,48.434281,73.75,29.55,66.18333333333334
369,59170485,DA,59170485,0.5399,725,279,271,725,-123.511089,48.429339,74.33333333333333,29.95,71.06666666666666
370,59170488,DA,59170488,0.2688,763,290,286,763,-123.492265,48.430805,68.5,27.316666666666666,62.38333333333333
371,59170489,DA,59170489,0.356,947,399,386,947,-123.490334,48.435173,58.5,25.483333333333334,59.36666666666667
372,59170490,DA,59170490,0.2059,506,213,209,506,-123.497388,48.435378,64.38333333333334,27.666666666666668,64.18333333333334
373,59170491,DA,59170491,0.556,985,397,385,985,-123.490296,48.439235,65.68333333333334,26.9,61.266666666666666
374,59170492,DA,59170492,0.201,501,179,177,501,-123.497587,48.441429,67.48333333333333,28.6,63.18333333333333
375,59170493,DA,59170493,0.7545,1253,581,551,1253,-123.497831,48.445126,67.7,26.516666666666666,61.56666666666667
376,59170494,DA,59170494,0.1327,355,128,127,355,-123.490678,48.422921,74.41666666666667,28.633333333333333,64.56666666666666
377,59170495,DA,59170495,0.2194,502,200,196,502,-123.488079,48.420572,76.28333333333333,28.283333333333335,65.41666666666667
378,59170498,DA,59170498,0.1554,427,168,162,427,-123.49856,48.41955,74.95,29.333333333333332,66.21666666666667
379,59170501,DA,59170501,2.4549,3643,1350,1295,3643,-123.524985,48.42238,82.96666666666667,34.88333333333333,76.76666666666667
380,59170502,DA,59170502,1.6305,1667,658,620,1667,-123.521352,48.410455,88.46666666666667,33.78333333333333,81.33333333333333
381,59170507,DA,59170507,0.6077,731,340,330,731,-123.475149,48.420873,95.81666666666666,30.9,74.21666666666667
382,59170544,DA,59170544,2.8179,266,90,86,266,-123.457654,48.623058,809.0666666666667,30.916666666666668,90.8
383,59170545,DA,59170545,5.9755,998,481,464,998,-123.432526,48.665732,94.95,32.06666666666667,93.23333333333333
384,59170546,DA,59170546,0.4896,783,387,376,783,-123.412489,48.65868,78.63333333333334,32.43333333333333,89.31666666666666
385,59170547,DA,59170547,0.2894,109,48,40,109,-123.449008,48.664623,119.55,34.9,94.96666666666667
